epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,192.621,1.43709,1.3488,1.25607,0.38589,0.54033,0.45961,0.27645,1.42762,1.69978,1.17963,0.00029176,0.00029176,0.00029176
43,197.125,1.43471,1.3711,1.27059,0.4084,0.72441,0.50075,0.30379,1.40409,1.64457,1.14405,0.00028912,0.00028912,0.00028912
44,201.74,1.38996,1.32545,1.25028,0.61109,0.58883,0.61303,0.32528,1.61702,1.47243,1.23819,0.00028648,0.00028648,0.00028648
45,206.414,1.38887,1.34667,1.25871,0.42629,0.57146,0.46134,0.28331,1.41332,1.59762,1.14508,0.00028384,0.00028384,0.00028384
46,211,1.39213,1.30896,1.24867,0.43785,0.61772,0.53614,0.3138,1.39478,1.58898,1.14327,0.0002812,0.0002812,0.0002812
47,215.681,1.40532,1.33165,1.25016,0.34846,0.60636,0.41236,0.23675,1.41957,2.03298,1.13564,0.00027856,0.00027856,0.00027856
48,220.391,1.36504,1.38017,1.24857,0.48175,0.59045,0.52066,0.3102,1.42607,1.47437,1.14012,0.00027592,0.00027592,0.00027592
49,225.021,1.39459,1.29828,1.25242,0.4507,0.5898,0.46234,0.28475,1.39356,1.65929,1.1416,0.00027328,0.00027328,0.00027328
50,229.726,1.37309,1.31827,1.24357,0.39228,0.6273,0.4473,0.26833,1.42749,1.90975,1.14042,0.00027064,0.00027064,0.00027064
51,234.466,1.36361,1.27731,1.24493,0.39436,0.62618,0.46894,0.28583,1.38023,1.73539,1.12555,0.000268,0.000268,0.000268
52,239.017,1.3621,1.26468,1.22815,0.48937,0.61577,0.59165,0.37388,1.42796,1.44231,1.14106,0.00026536,0.00026536,0.00026536
53,243.652,1.33958,1.25444,1.2392,0.46508,0.52558,0.49579,0.31071,1.42137,1.59419,1.13376,0.00026272,0.00026272,0.00026272
54,248.269,1.33945,1.27143,1.24305,0.60561,0.63367,0.61471,0.37662,1.45916,1.40134,1.16201,0.00026008,0.00026008,0.00026008
55,252.817,1.34833,1.29528,1.25149,0.44686,0.54879,0.48219,0.30165,1.39774,1.60308,1.13432,0.00025744,0.00025744,0.00025744
56,257.632,1.32863,1.26445,1.244,0.66544,0.62172,0.65878,0.37997,1.45824,1.31296,1.155,0.0002548,0.0002548,0.0002548
57,262.391,1.3252,1.258,1.22897,0.43476,0.64268,0.522,0.31057,1.392,1.46035,1.12601,0.00025216,0.00025216,0.00025216
58,267.01,1.32485,1.1895,1.21679,0.48112,0.57835,0.49718,0.29602,1.43493,1.65855,1.16682,0.00024952,0.00024952,0.00024952
59,271.714,1.35731,1.24208,1.24512,0.44858,0.60627,0.50997,0.30872,1.38947,1.57295,1.1355,0.00024688,0.00024688,0.00024688
60,276.427,1.33321,1.20536,1.23962,0.50024,0.68454,0.58,0.38132,1.34239,1.39211,1.12008,0.00024424,0.00024424,0.00024424
61,281.264,1.28935,1.18376,1.2014,0.54483,0.62926,0.59822,0.37554,1.35306,1.36803,1.11683,0.0002416,0.0002416,0.0002416
62,286.002,1.33741,1.21491,1.21634,0.49728,0.56746,0.53342,0.31181,1.39518,1.53004,1.13128,0.00023896,0.00023896,0.00023896
63,290.605,1.27764,1.17614,1.19847,0.51118,0.67407,0.5632,0.33621,1.42874,1.41962,1.14055,0.00023632,0.00023632,0.00023632
64,295.167,1.31172,1.17742,1.21588,0.45235,0.66382,0.49533,0.2935,1.45997,1.75012,1.14569,0.00023368,0.00023368,0.00023368
65,299.659,1.32366,1.172,1.20342,0.44663,0.58952,0.50628,0.30938,1.43481,1.66429,1.15858,0.00023104,0.00023104,0.00023104
66,304.337,1.29432,1.1615,1.20281,0.54024,0.44898,0.53191,0.34748,1.35633,1.4786,1.11578,0.0002284,0.0002284,0.0002284
67,309.005,1.27249,1.1437,1.20558,0.488,0.64409,0.59027,0.36693,1.3833,1.34149,1.13548,0.00022576,0.00022576,0.00022576
68,313.608,1.28716,1.12922,1.20138,0.47008,0.67006,0.51524,0.33469,1.31472,1.49401,1.09346,0.00022312,0.00022312,0.00022312
69,318.165,1.26627,1.10034,1.175,0.4943,0.56149,0.53196,0.34448,1.3446,1.55344,1.11802,0.00022048,0.00022048,0.00022048
70,322.814,1.2381,1.10623,1.18274,0.42198,0.61626,0.50144,0.32779,1.29515,1.57163,1.0947,0.00021784,0.00021784,0.00021784
71,327.538,1.26989,1.13654,1.19471,0.49881,0.57156,0.53908,0.33996,1.36401,1.53927,1.11406,0.0002152,0.0002152,0.0002152
72,332.182,1.23783,1.08822,1.17945,0.44431,0.59523,0.51185,0.31426,1.37897,1.55054,1.12737,0.00021256,0.00021256,0.00021256
73,336.95,1.27624,1.0832,1.19612,0.37553,0.64223,0.44899,0.27556,1.36808,1.79924,1.12801,0.00020992,0.00020992,0.00020992
